config,cutoff,N,W,part,insiders_caught,insiders_total,user_recall,false_users,normal_users,user_fpr,median_delay_days
logon+device,0.6,4,7,валидация,1,35,0.0286,0,910,0.0,5
logon+device,0.6,4,7,тест,1,35,0.0286,0,888,0.0,3
logon+device,0.6,4,14,валидация,7,35,0.2,4,910,0.0044,6
logon+device,0.6,4,14,тест,13,35,0.3714,2,888,0.0023,6
logon+device,0.6,4,30,валидация,8,35,0.2286,12,910,0.0132,6.0
logon+device,0.6,4,30,тест,15,35,0.4286,12,888,0.0135,6
logon+device,0.6,5,7,валидация,0,35,0.0,0,910,0.0,
logon+device,0.6,5,7,тест,0,35,0.0,0,888,0.0,
logon+device,0.6,5,14,валидация,2,35,0.0571,0,910,0.0,9.5
logon+device,0.6,5,14,тест,0,35,0.0,1,888,0.0011,
logon+device,0.6,5,30,валидация,2,35,0.0571,5,910,0.0055,9.5
logon+device,0.6,5,30,тест,0,35,0.0,4,888,0.0045,
